pitchwheel channel=1 pitch=0 time=5
pitchwheel channel=8 pitch=0 time=5
pitchwheel channel=3 pitch=0 time=5
pitchwheel channel=4 pitch=0 time=5
pitchwheel channel=6 pitch=0 time=5
pitchwheel channel=7 pitch=0 time=5
pitchwheel channel=9 pitch=0 time=5
pitchwheel channel=2 pitch=0 time=5
pitchwheel channel=10 pitch=0 time=0
pitchwheel channel=5 pitch=0 time=0
note_on channel=10 note=53 velocity=57 time=0
note_off channel=8 note=46 velocity=0 time=33
note_off channel=10 note=46 velocity=0 time=0
note_off channel=8 note=53 velocity=0 time=3
note_off channel=10 note=53 velocity=0 time=0
note_off channel=3 note=82 velocity=0 time=141
note_on channel=8 note=46 velocity=115 time=52
note_on channel=10 note=46 velocity=81 time=0
note_on channel=8 note=53 velocity=87 time=11
note_on channel=10 note=53 velocity=53 time=0
note_on channel=3 note=79 velocity=106 time=0
note_off channel=8 note=46 velocity=0 time=28
note_off channel=10 note=46 velocity=0 time=0
note_off channel=8 note=53 velocity=0 time=4
note_off channel=10 note=53 velocity=0 time=0
note_off channel=3 note=79 velocity=0 time=171
note_on channel=8 note=46 velocity=102 time=14
note_on channel=10 note=46 velocity=68 time=0
note_on channel=8 note=53 velocity=91 time=11
note_on channel=10 note=53 velocity=57 time=0
note_on channel=3 note=77 velocity=110 time=0
note_off channel=8 note=46 velocity=0 time=32
note_off channel=10 note=46 velocity=0 time=0
note_off channel=8 note=53 velocity=0 time=7
note_off channel=10 note=53 velocity=0 time=0
note_off channel=3 note=77 velocity=0 time=147
note_on channel=8 note=46 velocity=110 time=34
note_on channel=10 note=46 velocity=76 time=0
note_on channel=8 note=53 velocity=91 time=11
note_on channel=10 note=53 velocity=57 time=0
note_on channel=3 note=75 velocity=111 time=0
note_off channel=8 note=46 velocity=0 time=33
note_off channel=10 note=46 velocity=0 time=0
note_off channel=8 note=53 velocity=0 time=16
note_off channel=10 note=53 velocity=0 time=0
note_off channel=3 note=75 velocity=0 time=144
note_on channel=8 note=46 velocity=115 time=35
note_on channel=10 note=46 velocity=81 time=0
note_on channel=3 note=72 velocity=110 time=0
note_on channel=8 note=53 velocity=83 time=10
note_on channel=10 note=53 velocity=49 time=0
note_off channel=8 note=46 velocity=0 time=33
note_off channel=10 note=46 velocity=0 time=0
note_off channel=8 note=53 velocity=0 time=13
note_off channel=10 note=53 velocity=0 time=0
note_off channel=3 note=72 velocity=0 time=67
note_on channel=8 note=46 velocity=120 time=116
note_on channel=10 note=46 velocity=86 time=0
note_on channel=8 note=53 velocity=105 time=11
note_on channel=10 note=53 velocity=71 time=0
note_on channel=3 note=72 velocity=125 time=0
note_off channel=8 note=46 velocity=0 time=32
note_off channel=10 note=46 velocity=0 time=0
note_off channel=8 note=53 velocity=0 time=18
note_off channel=10 note=53 velocity=0 time=0
note_off channel=3 note=72 velocity=0 time=102
note_on channel=3 note=75 velocity=123 time=0
note_on channel=8 note=46 velocity=120 time=4
note_on channel=10 note=46 velocity=86 time=0
note_on channel=8 note=53 velocity=105 time=11
note_on channel=10 note=53 velocity=71 time=0
